swimmer_name,swimmer_ID,event,event_ID,time,meet_name,year,date,additional_info
David G Bajwa,1244532,50 Back Y,250,23.97,MIAA Relays, 2023,"Oct 20, 2023","['Extracted', 'Relay Leadoff']"
David G Bajwa,1244532,50 Back Y,250,21.19,MIAA Relays, 2023,"Oct 20, 2023",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,21.10,Michigan Intercollegiate Athletic Association Championships, 2023,"Feb 16, 2023",[]
David G Bajwa,1244532,50 Back Y,250,22.04,Calvin vs. Hope, 2023,"Jan 27, 2023",[]
David G Bajwa,1244532,50 Back Y,250,21.77,Calvin vs. Alma vs. Albion, 2023,"Jan 21, 2023",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,24.53,Ashland vs. Calvin, 2023,"Jan 13, 2023",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,22.07,Calvin Winter Invitational, 2022,"Dec 02, 2022",['Extracted']
David G Bajwa,1244532,50 Back Y,250,21.36,Calvin Winter Invitational, 2022,"Dec 01, 2022",[]
David G Bajwa,1244532,50 Back Y,250,25.90,Calvin Mental Health Awareness Meet, 2022,"Oct 22, 2022",['Extracted']
David G Bajwa,1244532,50 Back Y,250,21.60,Michigan Intercollegiate Athletic Association Championships, 2022,"Feb 18, 2022",[]
David G Bajwa,1244532,50 Back Y,250,21.99,Calvin vs. Hillsdale vs Davenport, 2022,"Jan 21, 2022",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,21.70,Calvin Winter Invite, 2021,"Dec 02, 2021",[]
David G Bajwa,1244532,50 Back Y,250,23.56,Calvin vs. Kalamazoo, 2021,"Nov 12, 2021",['Extracted']
David G Bajwa,1244532,50 Back Y,250,22.35,PV SC Championship Series, 2021,"Mar 18, 2021",[]
David G Bajwa,1244532,50 Back Y,250,22.17,Potomac Valley SC Senior Championships, 2020,"Mar 07, 2020",[]
David G Bajwa,1244532,50 Back Y,250,22.77,Washington Metropolitan Prep School League Championship, 2020,"Feb 08, 2020",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,22.53,Washington Metropolitan Prep School League Championship, 2020,"Feb 08, 2020",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,22.71,VA MACH Turkey Claus, 2019,"Dec 08, 2019",[]
David G Bajwa,1244532,50 Back Y,250,23.12,VA MACH Turkey Claus, 2019,"Dec 08, 2019",[]
David G Bajwa,1244532,50 Back Y,250,23.71,PV Oct Open - Lee District, 2019,"Oct 19, 2019",[]
David G Bajwa,1244532,50 Back Y,250,24.92,PV Senior Kick Off, 2019,"Oct 05, 2019",['Extracted']
David G Bajwa,1244532,50 Back Y,250,23.68,Potomac Valley Senior Championships, 2019,"Mar 08, 2019",[]
David G Bajwa,1244532,50 Back Y,250,23.69,PV DCPR 33rd Black History Invitational, 2019,"Feb 16, 2019",[]
David G Bajwa,1244532,50 Back Y,250,24.71,PV January Open - Audrey, 2019,"Jan 20, 2019",[]
David G Bajwa,1244532,50 Back Y,250,23.74,PV Turkey Claus Showdown, 2018,"Dec 02, 2018",[]
David G Bajwa,1244532,50 Back Y,250,23.99,VA HOKI November Invitational, 2018,"Nov 11, 2018",[]
David G Bajwa,1244532,50 Back Y,250,25.77,Turkey Claus Showdown, 2017,"Dec 03, 2017",[]
David G Bajwa,1244532,50 Back Y,250,25.73,Turkey Claus Showdown, 2017,"Dec 03, 2017",[]
David G Bajwa,1244532,50 Back Y,250,26.80,PV Oct Open - Lee Distric, 2017,"Oct 14, 2017",[]
David G Bajwa,1244532,100 Back Y,2100,47.78,NCAA Division III Championship, 2024,"Mar 22, 2024",[]
